GEOID20,District
080010090012023,1
080010090031001,1
080010093061000,1
080010093061001,1
080010093061002,1
080010093061003,1
080010093061012,1
080010093071000,1
080010093071001,1
080010093071002,1
080010093071003,1
080010093071004,1
080010093071005,1
080010093071006,1
080010093071007,1
080010093071008,1
080010093071009,1
080010093071010,1
080010093071027,1
080010093182000,1
080010093182001,1
080010093182002,1
080010093182003,1
080010093183000,1
080010090012004,1
080010090012005,1
080010090012006,1
080010090012019,1
080010090012020,1
080010090012021,1
080010090012022,1
080010090012024,1
080010090012026,1
080010090012027,1
080010090012028,1
080010090012029,1
080010090012041,1
080010090031000,1
080010092032009,1
080010092032010,1
080010092032012,1
080010092032013,1
080010092032014,1
080010092032015,1
080010092032016,1
080010092032017,1
080010092032018,1
080010092032019,1
080010092032020,1
080010092033000,1
080010092033001,1
080010092033002,1
080010092033003,1
080010092033004,1
080010092033005,1
080010092033006,1
080010092033007,1
080010092033008,1
080010092033009,1
080010092033010,1
080010093043000,1
080010093043001,1
080010093043002,1
080010093043003,1
080010093043004,1
080010093043005,1
080010093043006,1
080010093043007,1
080010093043008,1
080010093181000,1
080010093181001,1
080010093181002,1
080010093181003,1
080010093181004,1
080010093181005,1
080010093181006,1
080010093181007,1
080010093181008,1
080010093181009,1
080010092031000,2
080010092031002,2
080010092031003,2
080010092032001,2
080010092032002,2
080010092032004,2
080010092032005,2
080010092032006,2
080010092032007,2
080010092032008,2
080010091011004,1
080010092021000,1
080010092021001,1
080010092021004,1
080010092021005,1
080010092021006,1
080010092021007,1
080010092021022,1
080010092042000,1
080010092042013,1
080010092042014,1
080010092042022,1
080010092043000,1
080010092043001,1
080010092043002,1
080010092043003,1
080010092043004,1
080010092043005,1
080010092043006,1
080010092043007,1
080010092043008,1
080010092043009,1
080010092043010,1
080010092043011,1
080010092043012,1
080010092043013,1
080010092043014,1
080010092043015,1
080010092043016,1
080010092043017,1
080010092043018,1
080010092043019,1
080010092021002,1
080010092021003,1
080010092021008,1
080010092021009,1
080010092021021,1
080010092022000,1
080010092031004,1
080010092031005,1
080010092031006,1
080010092031007,1
080010092031008,1
080010092031009,1
080010092031010,1
080010092031011,1
080010092032003,1
080010092032011,1
080010092042001,1
080010092042002,1
080010092042003,1
080010092042004,1
080010092042005,1
080010092042006,1
080010092042007,1
080010092042008,1
080010092042009,1
080010092042010,1
080010092042011,1
080010092042012,1
080010092042015,1
080010092042016,1
080010092042017,1
080010092042018,1
080010092042019,1
080010092042020,1
080010092042021,1
080010092041000,1
080010092041001,1
080010092041002,1
080010092041003,1
080010092041004,1
080010092041005,1
080010092041006,1
080010092041007,1
080010092041008,1
080010092041009,1
080010092041010,1
080010092041011,1
080010092041012,1
080010092041013,1
080010092041014,1
080010092041015,1
080010092041016,1
080010092041017,1
080010092041018,1
080010092044000,1
080010092044001,1
080010092044002,1
080010092044003,1
080010092044004,1
080010092044005,1
080010092044006,1
080010092044007,1
080010092044008,1
080010092044009,1
080010092044010,1
080010092044011,1
080010092044012,1
080010092044013,1
080010092044014,1
080010092044015,1
080010091011005,1
080010091011006,1
080010091011007,1
080010091011008,1
080010091011009,1
080010091011010,1
080010091011011,1
080010091011015,1
080010091011016,1
080010091011017,1
080010091013000,1
080010091013001,1
080010091013002,1
080010091013003,1
080010091013004,1
080010091013005,1
080010091013006,1
080010092021010,1
080010092021011,1
080010092021012,1
080010092021013,1
080010092021014,1
080010092021015,1
080010092021016,1
080010092021017,1
080010092021020,1
080010092021025,1
080010092021026,1
080010092021027,1
080010092021028,1
080010092021029,1
080010092021030,1
080010092021032,1
080010092021033,1
080010092021034,1
080010092022012,1
080010092022013,1
080010092022014,1
080010092022015,1
080010085051000,2
080010085051001,2
080010085051002,2
080010085051003,2
080010085051004,2
080010085051005,2
080010085051006,2
080010085051007,2
080010085051008,2
080010085051009,2
080010085051010,2
080010085051011,2
080010085051012,2
080010085051013,2
080010085051014,2
080010085056001,2
080010085056002,2
080010085056003,2
080010085056004,2
080010085056005,2
080010085056006,2
080010085056007,2
080010085056008,2
080010092032000,2
080010085052000,2
080010085052001,2
080010085052002,2
080010085052003,2
080010085052004,2
080010085052005,2
080010085052006,2
080010085052007,2
080010085052008,2
080010085052009,2
080010085052010,2
080010085052011,2
080010085052012,2
080010085052013,2
080010085052014,2
080010085052015,2
080010085056000,2
080010085056009,2
080010085056010,2
080010085056011,2
080010085056012,2
080010092031001,2
080410009001044,3
080410009001045,3
080410009002012,3
080410009002013,3
080410009002014,3
080410009002015,3
080410009002016,3
080410009002017,3
080410009002021,3
080410009002022,3
080410009002023,3
080410009002024,3
080410009002025,3
080410009002026,3
080410010002014,3
080410010002015,3
080410010002016,3
080410010002017,3
080410010002018,3
080410010002019,3
080410010002020,3
080410010002021,3
080410010002022,3
080410010002023,3
080410010002024,3
080410010002025,3
080410010002026,3
080410010002027,3
080410010002028,3
080410010002029,3
080410010002030,3
080410010002031,3
080410010002032,3
080410010002033,3
080410010002034,3
080410010002035,3
080410010002036,3
080410010003005,3
080410010003006,3
080410010003007,3
080410010003008,3
080410010003009,3
080410010003010,3
080410010003011,3
080410010003012,3
080410010003013,3
080410010003014,3
080410010003018,3
080410010003019,3
080410010003020,3
080410010003021,3
080410010003022,3
080410010003023,3
080410010003024,3
080410010003025,3
080410010003026,3
080410010003027,3
080410010003028,3
080410010003029,3
080410010003030,3
080410010003031,3
080410010003032,3
080410010003033,3
080410010003034,3
080410010003035,3
080410039102000,3
080410039102001,3
080410039102002,3
080410039102003,3
080410039102004,3
080410039102005,3
080410039102006,3
080410039102007,3
080410039102008,3
080410039102009,3
080410039102010,3
080410039102018,3
080410039102019,3
080410039102020,3
080410039102021,3
080410039102022,3
080410039102023,3
080410039102024,3
080410039102025,3
080410039102026,3
080410039102027,3
080410039102028,3
080410039102029,3
080410039102030,3
080410039102031,3
080410039102032,3
080410039102033,3
080410039102034,3
080410039102035,3
080410039102043,3
080410039102044,3
080410039102045,3
080410039102046,3
080410039102047,3
080410039102048,3
080410039102049,3
080410039102050,3
080410039102051,3
080410039102052,3
080410039102053,3
080410039102054,3
080410039102055,3
080410039102056,3
080410039102057,3
080410039102058,3
080410039102059,3
080410039102060,3
080410039102061,3
080410039102062,3
080410039114000,3
080410039114001,3
080410039114002,3
080410039114013,3
080410039101000,3
080410039101002,3
080410039101003,3
080410039101004,3
080410039101005,3
080410039101007,3
080410039101008,3
080410039101009,3
080410039101010,3
080410039101011,3
080410039101012,3
080410039101013,3
