AREA,DISTRICTS,BLOCKS,POPULATION
1,12/6/11/8/12,10335,358309
2,17/13/16/11/13,10894,354814
3,3/10/5/5/1,3584,335943
4,8/3/8/10/14,8894,325594
5,1/1/1/2/3,3942,298233
6,7/3/7/1/4,7460,278766
7,1/1/1/1/3,4498,267709
8,13/17/15/17/16,10699,256294
9,10/5/6/7/8,6491,246907
10,14/15/17/14/16,5535,229674
11,2/11/2/4/2,2202,228735
12,8/2/8/16/14,7027,219020
13,6/7/6/6/7,3475,207454
14,10/4/10/15/11,5024,197187
15,11/6/10/15/11,3813,196202
16,4/12/4/3/5,2705,194467
17,2/11/2/2/2,1807,192642
18,2/11/3/4/2,1902,189352
19,16/16/14/12/10,2529,180649
20,4/8/4/3/5,2601,176384
21,6/8/7/9/7,3435,170319
22,14/14/15/13/17,8357,164758
23,9/12/12/16/15,8084,151638
24,17/16/13/12/10,3173,146575
25,10/4/10/7/8,2607,146214
26,9/2/12/16/13,8623,144848
27,6/8/9/9/7,3417,144272
28,11/7/9/9/8,4714,143257
29,5/9/5/6/6,2054,140419
30,5/9/4/6/6,1938,140260
31,3/10/2/5/1,1810,137157
32,3/10/3/4/1,1623,127865
33,8/2/7/10/14,3572,127675
34,16/13/13/12/17,3728,126708
35,5/7/6/6/6,1828,124124
36,11/4/16/17/15,2066,115168
37,15/16/14/14/9,1954,114835
38,5/9/5/5/6,1472,112741
39,17/13/13/11/15,4097,108531
40,15/14/13/13/17,2766,107576
41,5/5/5/5/6,1289,103203
42,12/5/10/15/12,2406,101840
43,14/14/13/13/17,3868,101773
44,12/6/11/15/12,1926,98396
45,10/5/10/7/8,1620,95408
46,7/2/7/1/4,2220,91249
47,15/14/14/13/10,1459,90747
48,6/7/6/7/7,1991,86242
49,17/13/13/11/10,3303,86070
50,8/2/8/10/14,2953,85994
51,9/7/12/8/11,4276,85602
52,15/15/14/13/9,1054,83419
53,14/17/15/17/16,4354,83246
54,16/15/17/14/9,1254,82744
55,11/8/12/8/15,3615,82417
56,9/12/9/9/11,3075,81811
57,4/12/3/3/5,1169,81047
58,1/9/1/2/3,1563,80596
59,4/9/4/3/5,980,80038
60,16/14/14/12/10,1206,78107
61,16/16/14/12/9,1416,75757
62,13/15/15/17/17,3958,74129
63,7/1/9/10/4,2161,73299
64,15/15/17/14/9,2497,72972
65,1/11/2/2/3,540,72753
66,5/5/5/6/6,1623,69635
67,3/10/3/5/1,678,66858
68,7/3/8/10/4,2449,64749
69,12/5/11/7/12,1089,62941
70,13/17/16/11/15,3418,61538
71,13/17/16/17/15,3440,60730
72,13/17/11/17/17,3057,58648
73,14/16/15/14/16,2721,57345
74,9/12/12/8/13,2488,55679
75,3/10/2/4/1,955,55574
76,15/15/17/13/9,1355,55009
77,15/14/14/13/9,693,54890
78,11/4/9/15/11,1433,54095
79,14/15/15/17/16,2184,53422
80,2/9/3/4/2,525,52396
81,14/15/17/13/16,2092,51373
82,13/17/15/17/17,3002,47577
83,17/16/13/11/10,1694,47188
84,9/8/9/9/8,1731,46245
85,7/3/1/1/4,1129,45967
86,9/12/12/16/13,2620,45008
87,13/17/12/16/13,2672,44979
88,15/15/14/14/9,1190,44032
89,12/6/11/7/12,1366,43763
90,11/4/16/16/15,1715,43004
91,16/14/13/12/17,1231,41507
92,7/3/9/9/4,1306,41313
93,5/8/4/3/5,546,40602
94,7/1/7/1/4,869,38731
95,13/17/16/11/13,1899,38587
96,15/14/17/13/10,920,38326
97,4/8/3/3/5,550,37845
98,6/7/4/6/7,845,37729
99,13/17/16/16/15,2143,36590
100,12/5/11/15/12,791,34598
101,7/1/7/10/4,1005,33198
102,3/11/2/4/2,519,33132
103,16/16/17/14/9,887,33041
104,1/9/3/2/3,484,32670
105,15/14/17/14/9,925,32193
106,15/16/17/14/9,384,31542
107,16/13/17/12/10,1066,31175
108,13/17/12/16/15,1593,30895
109,7/2/9/10/4,1003,30791
110,4/9/3/2/5,476,30322
111,4/1/1/3/5,530,30224
