GEOID,AREA
240230004001060,1
240230007004073,1
240430115023026,1
240217506002043,1
240217522021010,1
240010005001038,1
240217529001032,1
240430102004019,1
240010001003042,1
240430112031002,1
240230007004069,1
240230001002060,1
240430003011033,1
240217508022008,1
240217513013021,1
240430002001010,1
240430112022002,1
240010018001012,1
240217754001010,1
240230001002058,1
240217753025049,1
240010007002045,1
240010014011006,1
240430111005019,1
240430103002014,1
240217512013031,1
240430104012025,1
240230003001025,1
240217505042001,1
240430112042009,1
240430117001010,1
240430005003049,1
240217523022036,1
240217651001025,1
240010002002033,1
240430117001026,1
240430109022021,1
240430113022005,1
240217523022039,1
240217517021003,1
240010019001024,1
240230006021038,1
240217675001018,1
240010002003017,1
240230004001037,1
240010012001024,1
240010021001038,1
240230004003040,1
240217510042014,1
240230007004058,1
240230001001086,1
240430107001013,1
240430113021058,1
240230006011005,1
240430104022054,1
240230006021007,1
240217507023017,1
240217522061013,1
240430115021041,1
240217516002001,1
240230007001052,1
240010001002036,1
240217707002000,1
240217523033011,1
240430115011005,1
240230007002006,1
240010007002020,1
240430010012010,1
240217508041023,1
240430115012027,1
240010022001027,1
240010017001002,1
240230007004061,1
240010022001041,1
240217525011043,1
240010023003003,1
240430107002006,1
240010010001067,1
240430113023022,1
240010015021058,1
240430111003001,1
240430005003023,1
240230004003015,1
240230006013008,1
240010022003014,1
240010019001045,1
240430107003030,1
240217722001003,1
240217523033015,1
240217722001017,1
240217508052035,1
240010002003008,1
240230005011047,1
240010023003001,1
240217676001052,1
240217522011027,1
240217528021012,1
240430108032014,1
240217505043003,1
240430112021003,1
240430109013029,1
240217675001011,1
240217508051005,1
240230007003023,1
240430114001009,1
240010005001022,1
240430111001002,1
240430102001056,1
240230001001048,1
240430109021003,1
240430117003026,1
240430112021000,1
240217525022005,1
240217523014018,1
240217402004006,1
240430001001046,1
240430006012012,1
240010014021009,1
240430110001000,1
240430113011018,1
240230004001005,1
240010007002055,1
240010001002014,1
240430115012003,1
240217508041028,1
240217517021018,1
240217530016013,1
240217510043007,1
240217523022019,1
240010018001051,1
240430108021013,1
240217521022024,1
240217529002054,1
240217675003043,1
240217518021007,1
240430108033011,1
240217505042000,1
240010020002014,1
240010019001048,1
240217676002026,1
240217707001025,1
240010001003037,1
240217519041018,1
240010019001061,1
240217525012005,1
240217525022011,1
240010020005010,1
240217517021016,1
240217506003012,1
240010005001019,1
240217676001047,1
240010010001072,1
240430115021027,1
240217651003015,1
240010022003031,1
240010015021031,1
240217668002037,1
240430108033031,1
240217402004012,1
240217651001024,1
240217707002029,1
240217756002000,1
240010020003022,1
240230001001054,1
240010023002022,1
240430115012044,1
240010001002017,1
240230003002037,1
240430005003043,1
240217530013002,1
240430106003013,1
240217528022002,1
240217513012009,1
240010018003020,1
240430111002004,1
240430107001019,1
240217522011018,1
240430115022001,1
240010019001022,1
240430008001015,1
240010021001067,1
240430107003011,1
240430009003031,1
240217518014018,1
240430107003008,1
240217510041043,1
240217512033003,1
240010007001008,1
240430109013004,1
240217521022053,1
240010010002043,1
240217519062009,1
240010001001050,1
240430114001044,1
240217668002010,1
240010002002004,1
240217520011002,1
240010005001032,1
240217735003004,1
240230005022028,1
240430010012023,1
240430115021001,1
240010001002010,1
240217668001018,1
240430102001053,1
240217668002047,1
240230007003009,1
240430102001022,1
240217526033007,1
240430115021045,1
240217523022034,1
240430110001008,1
240430107001024,1
240010017002026,1
240217508013007,1
240430106002045,1
240217507023004,1
240217675002044,1
240230001001116,1
240217521022046,1
240010014011029,1
240230003002021,1
240217508052039,1
240010013002023,1
240010013002006,1
240430117004017,1
240217520011006,1
240430112042000,1
240230007004036,1
240217516002013,1
240217518021014,1
240430106002005,1
240217525011036,1
240010013001034,1
240430104022023,1
240010001003058,1
240430003022018,1
240217519022001,1
240010019002015,1
240010006001083,1
240430007003015,1
240230003002040,1
240230003002003,1
240430104022043,1
240430005003040,1
240217402004005,1
240217510031025,1
240230004002031,1
240430111005032,1
240217508052040,1
240217519043012,1
240217753026023,1
240010008001081,1
240010008001052,1
240217675003015,1
240430106001044,1
240217529002024,1
240217756001010,1
240430103002007,1
240217722001001,1
240217508024012,1
240217510031015,1
240430006021031,1
240010017003039,1
240430010011003,1
240010015032006,1
240430107002046,1
240217519042011,1
240230005022049,1
240430008003019,1
240217506002023,1
240217513021038,1
240217510033006,1
240430107003003,1
240217521011015,1
240217675002010,1
240430108022029,1
240430102001052,1
240010008002003,1
240230006014000,1
240217507021009,1
240217530022025,1
240230002002060,1
240217753025004,1
240010017003045,1
240217651001018,1
240430101001040,1
240010010002041,1
240430106003020,1
240217505052019,1
240430115011036,1
240010012001028,1
240430113011024,1
240217525013017,1
240217522023003,1
240430112043026,1
240010020004024,1
240430112022017,1
240217512032008,1
240010017002008,1
240230001003012,1
240230007004080,1
240430116001081,1
240430104023000,1
240217513011014,1
240430104012011,1
240230004002038,1
240430116001018,1
240430107004042,1
240430117004026,1
240430106004044,1
240010007001003,1
240010001001019,1
240430103001032,1
240217512013007,1
240010010002029,1
240430114001043,1
240230004002029,1
240010013002025,1
240217517022020,1
240010019002030,1
240217525012003,1
240217753025012,1
240430108033038,1
240430101001032,1
240430102001029,1
240430106001032,1
240010015033011,1
240430004002012,1
240430104022017,1
240217513012051,1
240230001003046,1
240430109013001,1
240010013001016,1
240430103001018,1
240217518014011,1
240217513012035,1
240010005001039,1
240430003012020,1
240430115021032,1
240430114002012,1
240430009001010,1
240430005003012,1
240430116001062,1
240217525021004,1
240217519042004,1
240217512011034,1
240217517023013,1
240430114002006,1
240217722002035,1
